               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0070067,             0.01219,          0.00014869,             0.99708,             0.99818,             0.99284,             0.98714,           0.0041369,           0.0055897,          0.00013801,            0.006634,            0.006634,            0.006634
                  36,           0.0068277,            0.012112,          0.00014429,             0.99708,             0.99818,             0.99244,             0.98645,            0.004057,            0.005567,          0.00013551,            0.006535,            0.006535,            0.006535
                  37,           0.0067718,            0.012042,          0.00014091,             0.99708,             0.99818,             0.99261,             0.98743,           0.0040778,           0.0055416,          0.00014694,            0.006436,            0.006436,            0.006436
                  38,           0.0066044,            0.011987,          0.00013722,             0.99708,             0.99818,             0.99254,             0.98744,           0.0041284,           0.0055706,           0.0001399,            0.006337,            0.006337,            0.006337
                  39,           0.0065879,            0.011837,          0.00013394,             0.99708,             0.99818,             0.99268,             0.98811,           0.0040707,           0.0055242,          0.00013498,            0.006238,            0.006238,            0.006238
                  40,           0.0065298,            0.011927,          0.00013176,             0.99708,             0.99818,             0.99254,              0.9881,           0.0041007,           0.0056007,          0.00014389,            0.006139,            0.006139,            0.006139
                  41,           0.0065437,            0.011846,          0.00013056,             0.99708,             0.99818,             0.99253,               0.988,           0.0040646,           0.0055224,          0.00013767,             0.00604,             0.00604,             0.00604
                  42,            0.006535,             0.01172,           0.0001294,             0.99708,             0.99818,             0.99282,             0.98836,           0.0040197,           0.0054336,            0.000147,            0.005941,            0.005941,            0.005941
                  43,           0.0062953,            0.011452,           0.0001244,             0.99708,             0.99818,             0.99254,             0.98811,            0.004031,           0.0055224,          0.00013974,            0.005842,            0.005842,            0.005842
                  44,           0.0063619,            0.011494,          0.00012262,             0.99708,             0.99818,             0.99262,             0.98853,           0.0040044,           0.0054763,          0.00014917,            0.005743,            0.005743,            0.005743
                  45,           0.0063175,            0.011539,          0.00012366,             0.99708,             0.99818,             0.99244,             0.98811,           0.0039907,           0.0054378,          0.00013889,            0.005644,            0.005644,            0.005644
                  46,           0.0062293,            0.011463,          0.00012096,             0.99708,             0.99818,             0.99266,             0.98752,           0.0039872,           0.0054071,          0.00013136,            0.005545,            0.005545,            0.005545
                  47,           0.0061911,            0.011427,          0.00011726,             0.99708,             0.99818,             0.99274,             0.98856,           0.0039756,           0.0053962,          0.00013111,            0.005446,            0.005446,            0.005446
                  48,           0.0061089,            0.011361,          0.00011626,             0.99708,             0.99818,             0.99279,             0.98881,           0.0039334,           0.0053669,          0.00012292,            0.005347,            0.005347,            0.005347
                  49,           0.0060273,            0.011288,           0.0001135,             0.99708,             0.99818,              0.9927,             0.98873,           0.0039014,           0.0053492,          0.00012235,            0.005248,            0.005248,            0.005248
                  50,           0.0059735,            0.011281,           0.0001097,             0.99708,             0.99818,             0.99265,             0.98904,            0.003914,           0.0053093,          0.00012566,            0.005149,            0.005149,            0.005149
                  51,           0.0059897,            0.011264,          0.00010878,             0.99708,             0.99818,             0.99267,             0.98869,           0.0039252,           0.0053224,          0.00012666,             0.00505,             0.00505,             0.00505
                  52,           0.0058673,            0.011082,          0.00010546,             0.99708,             0.99818,             0.99269,             0.98922,           0.0039144,           0.0053259,          0.00012985,            0.004951,            0.004951,            0.004951
                  53,           0.0057649,            0.010936,           0.0001025,             0.99708,             0.99818,             0.99258,             0.98911,           0.0039024,           0.0053193,           0.0001291,            0.004852,            0.004852,            0.004852
                  54,            0.005816,            0.010924,          0.00010318,             0.99708,             0.99818,             0.99248,               0.989,           0.0038772,           0.0053229,          0.00012953,            0.004753,            0.004753,            0.004753
                  55,           0.0057316,            0.010911,          0.00010234,             0.99707,             0.99818,             0.99258,             0.98924,           0.0038751,            0.005293,          0.00012507,            0.004654,            0.004654,            0.004654
                  56,           0.0057219,            0.010955,          9.7272e-05,             0.99707,             0.99818,             0.99259,             0.98944,           0.0038713,           0.0052544,            0.000119,            0.004555,            0.004555,            0.004555
                  57,           0.0056274,            0.010855,          9.6898e-05,             0.99708,             0.99818,             0.99257,             0.98918,           0.0038544,           0.0052434,          0.00011674,            0.004456,            0.004456,            0.004456
                  58,           0.0054651,            0.010567,          9.3176e-05,             0.99708,             0.99818,             0.99266,             0.98944,            0.003823,           0.0052458,          0.00011938,            0.004357,            0.004357,            0.004357
                  59,           0.0055255,            0.010651,          9.1792e-05,             0.99708,             0.99818,             0.99274,             0.98966,           0.0038167,           0.0052323,          0.00012009,            0.004258,            0.004258,            0.004258
                  60,           0.0054971,            0.010661,          9.1309e-05,             0.99708,             0.99818,             0.99271,             0.98959,           0.0038056,           0.0052129,          0.00011675,            0.004159,            0.004159,            0.004159
                  61,           0.0054041,            0.010531,          8.9537e-05,             0.99708,             0.99818,             0.99269,             0.98959,           0.0038047,           0.0052058,          0.00011443,             0.00406,             0.00406,             0.00406
                  62,           0.0053567,            0.010475,           8.599e-05,             0.99708,             0.99818,             0.99269,             0.98961,           0.0038046,           0.0051952,           0.0001143,            0.003961,            0.003961,            0.003961
                  63,           0.0053165,            0.010378,          8.2712e-05,             0.99708,             0.99818,              0.9927,              0.9897,           0.0038027,           0.0052017,          0.00010944,            0.003862,            0.003862,            0.003862
                  64,           0.0052356,            0.010424,           8.057e-05,             0.99708,             0.99818,             0.99269,             0.98957,           0.0037899,           0.0051878,          0.00010535,            0.003763,            0.003763,            0.003763
                  65,           0.0051802,            0.010189,          8.0318e-05,             0.99707,             0.99818,             0.99277,             0.98986,           0.0037715,           0.0051709,          0.00010458,            0.003664,            0.003664,            0.003664
