               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.011952,            0.014778,            0.005068,             0.99483,             0.99754,             0.99282,             0.98382,           0.0045913,           0.0063934,           0.0015323,            0.006535,            0.006535,            0.006535
                  37,            0.011734,             0.01473,            0.005083,              0.9949,             0.99724,             0.99288,              0.9842,           0.0044841,            0.006339,           0.0015165,            0.006436,            0.006436,            0.006436
                  38,            0.011739,            0.014778,           0.0050778,             0.99512,             0.99595,             0.99276,             0.98493,           0.0044337,           0.0063236,           0.0015251,            0.006337,            0.006337,            0.006337
                  39,            0.011585,            0.014545,           0.0049145,             0.99485,             0.99711,             0.99282,             0.98532,           0.0044043,            0.006289,           0.0014688,            0.006238,            0.006238,            0.006238
                  40,             0.01153,            0.014612,           0.0048952,             0.99399,             0.99435,             0.99243,             0.98474,           0.0043031,           0.0062709,           0.0017231,            0.006139,            0.006139,            0.006139
                  41,            0.011332,            0.014369,           0.0047905,             0.99516,             0.99697,             0.99255,             0.98518,           0.0043256,           0.0062617,           0.0014469,             0.00604,             0.00604,             0.00604
                  42,            0.011249,            0.014237,           0.0046541,             0.99522,             0.99729,             0.99288,             0.98595,            0.004265,           0.0061744,           0.0012792,            0.005941,            0.005941,            0.005941
                  43,            0.011013,            0.014022,           0.0045575,             0.99508,             0.99724,             0.99293,             0.98557,           0.0042123,            0.006168,           0.0013269,            0.005842,            0.005842,            0.005842
                  44,            0.011062,            0.014106,           0.0046435,             0.99509,             0.99696,             0.99311,             0.98616,           0.0042232,           0.0061857,           0.0013605,            0.005743,            0.005743,            0.005743
                  45,            0.010763,            0.013989,             0.00463,             0.99489,             0.99633,             0.99291,             0.98647,           0.0041504,           0.0061443,           0.0014391,            0.005644,            0.005644,            0.005644
                  46,            0.010642,            0.013998,            0.004508,             0.99527,             0.99643,             0.99289,             0.98614,           0.0041183,           0.0061067,           0.0013397,            0.005545,            0.005545,            0.005545
                  47,            0.010647,             0.01393,           0.0042326,             0.99521,             0.99718,             0.99303,             0.98647,           0.0040594,           0.0059947,            0.001271,            0.005446,            0.005446,            0.005446
                  48,            0.010654,            0.013884,           0.0042627,             0.99481,             0.99723,             0.99289,             0.98635,           0.0040603,            0.006068,           0.0012766,            0.005347,            0.005347,            0.005347
                  49,            0.010574,            0.013897,           0.0043522,             0.99545,             0.99677,             0.99294,             0.98638,           0.0040035,           0.0060032,           0.0012935,            0.005248,            0.005248,            0.005248
                  50,            0.010297,            0.013757,           0.0041613,             0.99495,             0.99686,             0.99292,              0.9872,           0.0040613,           0.0060086,           0.0012561,            0.005149,            0.005149,            0.005149
